Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-04T11:27:54.458Z","Included","claude-4.5-opus-high","Yes","703","0","64237","973","65913","0.04"
"2025-12-04T11:27:47.495Z","Included","claude-4.5-opus-high","Yes","2245","0","61992","115","64352","0.03"
"2025-12-04T11:27:40.087Z","Included","claude-4.5-opus-high","Yes","203","0","61789","131","62123","0.03"
"2025-12-04T11:27:32.715Z","Included","claude-4.5-opus-high","Yes","1777","0","60012","123","61912","0.03"
"2025-12-04T11:27:27.726Z","Included","claude-4.5-opus-high","Yes","659","774","59353","151","60937","0.03"
"2025-12-04T11:25:47.913Z","Included","claude-4.5-opus-high","Yes","1505","0","57848","661","60014","0.04"
"2025-12-04T11:25:40.574Z","Included","claude-4.5-opus-high","Yes","885","0","56963","122","57970","0.03"
"2025-12-04T11:25:29.132Z","Included","claude-4.5-opus-high","Yes","1229","0","55734","438","57401","0.03"
"2025-12-04T11:25:20.908Z","Included","claude-4.5-opus-high","Yes","2279","265","53455","417","56416","0.04"
"2025-12-04T11:23:25.592Z","Included","claude-4.5-opus-high","Yes","1561","1612","51894","669","55736","0.04"
"2025-12-04T11:19:29.869Z","Included","claude-4.5-opus-high","Yes","510","807","51384","756","53457","0.04"
"2025-12-04T11:17:15.512Z","Included","claude-4.5-opus-high","Yes","1421","0","49963","512","51896","0.03"
"2025-12-04T11:17:00.711Z","Included","claude-4.5-opus-high","Yes","3005","0","46958","542","50505","0.04"
"2025-12-04T11:17:00.103Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T11:16:40.128Z","Included","claude-4.5-opus-high","Yes","2115","0","44843","226","47184","0.03"
"2025-12-04T11:16:37.263Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T11:16:33.585Z","Included","claude-4.5-opus-high","Yes","31205","190","13638","240","45273","0.15"
"2025-12-04T11:11:02.549Z","Included","claude-4.5-opus-high","Yes","2387","1745","39883","830","44845","0.05"
"2025-12-04T11:09:41.107Z","Included","claude-4.5-opus-high","Yes","1029","1730","38854","659","42272","0.04"
"2025-12-04T11:08:43.556Z","Included","claude-4.5-opus-high","Yes","6090","176","32764","855","39885","0.06"
"2025-12-04T11:06:41.013Z","Included","claude-4.5-opus-high","Yes","4843","5494","27921","598","38856","0.06"
"2025-12-04T11:03:38.903Z","Included","claude-4.5-opus-high","Yes","2183","4076","25738","769","32766","0.05"
"2025-12-04T10:58:50.630Z","Included","claude-4.5-opus-high","Yes","1475","1737","24263","448","27923","0.03"
"2025-12-04T10:56:09.313Z","Included","claude-4.5-opus-high","Yes","1552","630","22711","847","25740","0.03"
"2025-12-04T10:53:23.986Z","Included","claude-4.5-opus-high","Yes","992","705","21719","849","24265","0.03"
"2025-12-04T10:52:12.158Z","Included","claude-4.5-opus-high","Yes","284","173","21435","821","22713","0.02"
"2025-12-04T10:51:35.826Z","Included","claude-4.5-opus-high","Yes","1042","0","20393","286","21721","0.02"
"2025-12-04T10:51:30.024Z","Included","claude-4.5-opus-high","Yes","271","0","20122","928","21321","0.03"
"2025-12-04T10:51:23.968Z","Included","claude-4.5-opus-high","Yes","2131","0","17991","218","20340","0.02"
"2025-12-04T10:51:17.332Z","Included","claude-4.5-opus-high","Yes","2693","0","15298","142","18133","0.02"
"2025-12-04T10:51:13.504Z","Included","claude-4.5-opus-high","Yes","1660","1","13638","141","15440","0.01"
"2025-12-04T09:47:23.525Z","Included","claude-4.5-opus-high","Yes","48912","394","13638","64","63008","0.23"
"2025-12-04T09:37:58.771Z","Included","claude-4.5-opus-high","Yes","1117","0","61402","33","62552","0.03"
"2025-12-04T09:37:56.131Z","Included","claude-4.5-opus-high","Yes","47764","958","13638","88","62448","0.22"
"2025-12-04T09:32:04.269Z","Included","claude-4.5-opus-high","Yes","135","0","61190","79","61404","0.02"
"2025-12-04T09:31:53.722Z","Included","claude-4.5-opus-high","Yes","202","0","60988","82","61272","0.02"
"2025-12-04T09:31:46.235Z","Included","claude-4.5-opus-high","Yes","301","0","60687","136","61124","0.03"
"2025-12-04T09:31:01.571Z","Included","claude-4.5-opus-high","Yes","884","0","59803","137","60824","0.03"
"2025-12-04T09:30:35.296Z","Included","claude-4.5-opus-high","Yes","456","0","59347","129","59932","0.03"
"2025-12-04T09:30:22.607Z","Included","claude-4.5-opus-high","Yes","608","0","58739","135","59482","0.03"
"2025-12-04T09:30:09.527Z","Included","claude-4.5-opus-high","Yes","637","0","58102","520","59259","0.03"
"2025-12-04T09:30:02.596Z","Included","claude-4.5-opus-high","Yes","1205","0","56897","515","58617","0.04"
"2025-12-04T09:29:58.950Z","Included","claude-4.5-opus-high","Yes","74","775","56823","102","57774","0.03"
"2025-12-04T09:29:11.313Z","Included","claude-4.5-opus-high","Yes","188","0","56635","76","56899","0.02"
"2025-12-04T09:28:55.288Z","Included","claude-4.5-opus-high","Yes","872","0","55763","135","56770","0.03"
"2025-12-04T09:28:51.814Z","Included","claude-4.5-opus-high","Yes","1351","278","54412","483","56524","0.04"
"2025-12-04T09:24:54.957Z","Included","claude-4.5-opus-high","Yes","134","705","54278","648","55765","0.03"
"2025-12-04T09:23:15.980Z","Included","claude-4.5-opus-high","Yes","189","0","54089","136","54414","0.02"
"2025-12-04T09:23:07.100Z","Included","claude-4.5-opus-high","Yes","222","0","53867","136","54225","0.02"
"2025-12-04T09:22:52.038Z","Included","claude-4.5-opus-high","Yes","568","0","53299","131","53998","0.02"
"2025-12-04T09:22:39.611Z","Included","claude-4.5-opus-high","Yes","395","0","52904","405","53704","0.03"
"2025-12-04T09:22:19.465Z","Included","claude-4.5-opus-high","Yes","153","0","52751","332","53236","0.03"
"2025-12-04T09:22:11.536Z","Included","claude-4.5-opus-high","Yes","1280","0","51471","91","52842","0.03"
"2025-12-04T09:22:07.667Z","Included","claude-4.5-opus-high","Yes","161","969","51310","258","52698","0.03"
"2025-12-04T09:20:37.173Z","Included","claude-4.5-opus-high","Yes","1673","0","49637","163","51473","0.03"
"2025-12-04T09:20:33.495Z","Included","claude-4.5-opus-high","Yes","1563","1429","48074","155","51221","0.03"
"2025-12-04T09:16:04.584Z","Included","claude-4.5-opus-high","Yes","37","840","48037","725","49639","0.03"
"2025-12-04T09:13:22.718Z","Included","claude-4.5-opus-high","Yes","229","0","47808","39","48076","0.02"
"2025-12-04T09:13:19.339Z","Included","claude-4.5-opus-high","Yes","34170","70","13638","88","47966","0.16"
"2025-12-04T09:04:04.824Z","Included","claude-4.5-opus-high","Yes","3111","0","44514","185","47810","0.03"
"2025-12-04T09:03:48.777Z","Included","claude-4.5-opus-high","Yes","1056","0","43458","165","44679","0.02"
"2025-12-04T09:03:36.230Z","Included","claude-4.5-opus-high","Yes","318","0","43140","967","44425","0.03"
"2025-12-04T09:03:20.040Z","Included","claude-4.5-opus-high","Yes","1923","0","41217","229","43369","0.03"
"2025-12-04T09:03:16.409Z","Included","claude-4.5-opus-high","Yes","157","842","41060","992","43051","0.04"
"2025-12-04T09:01:34.399Z","Included","claude-4.5-opus-high","Yes","195","0","40865","159","41219","0.02"
"2025-12-04T09:01:26.758Z","Included","claude-4.5-opus-high","Yes","226","0","40639","142","41007","0.02"
"2025-12-04T09:01:12.194Z","Included","claude-4.5-opus-high","Yes","129","0","40510","89","40728","0.02"
"2025-12-04T09:01:04.660Z","Included","claude-4.5-opus-high","Yes","277","0","40233","76","40586","0.02"
"2025-12-04T09:00:56.982Z","Included","claude-4.5-opus-high","Yes","1910","0","38323","163","40396","0.03"
"2025-12-04T09:00:49.184Z","Included","claude-4.5-opus-high","Yes","1301","0","37022","115","38438","0.02"
"2025-12-04T09:00:45.097Z","Included","claude-4.5-opus-high","Yes","7585","724","29437","117","37863","0.05"
"2025-12-04T08:57:04.267Z","Included","claude-4.5-opus-high","Yes","1079","0","35453","457","36989","0.03"
"2025-12-04T08:56:58.614Z","Included","claude-4.5-opus-high","Yes","852","0","34601","68","35521","0.02"
"2025-12-04T08:56:51.877Z","Included","claude-4.5-opus-high","Yes","1079","0","33522","126","34727","0.02"
"2025-12-04T08:56:45.399Z","Included","claude-4.5-opus-high","Yes","823","0","32699","68","33590","0.02"
"2025-12-04T08:56:39.575Z","Included","claude-4.5-opus-high","Yes","767","0","31932","91","32790","0.02"
"2025-12-04T08:56:33.307Z","Included","claude-4.5-opus-high","Yes","201","0","31731","45","31977","0.01"
"2025-12-04T08:56:25.141Z","Included","claude-4.5-opus-high","Yes","1108","0","30623","154","31885","0.02"
"2025-12-04T08:56:05.067Z","Included","claude-4.5-opus-high","Yes","826","0","29797","93","30716","0.02"
"2025-12-04T08:55:57.536Z","Included","claude-4.5-opus-high","Yes","360","0","29437","102","29899","0.01"
"2025-12-04T08:55:34.789Z","Included","claude-4.5-opus-high","Yes","129","0","29308","89","29526","0.01"
"2025-12-04T08:55:28.744Z","Included","claude-4.5-opus-high","Yes","242","0","29066","76","29384","0.01"
"2025-12-04T08:55:19.662Z","Included","claude-4.5-opus-high","Yes","139","0","28927","128","29194","0.01"
"2025-12-04T08:55:11.804Z","Included","claude-4.5-opus-high","Yes","228","0","28699","86","29013","0.01"
"2025-12-04T08:55:05.351Z","Included","claude-4.5-opus-high","Yes","470","0","28229","107","28806","0.01"
"2025-12-04T08:54:45.828Z","Included","claude-4.5-opus-high","Yes","129","0","28100","89","28318","0.01"
"2025-12-04T08:54:38.801Z","Included","claude-4.5-opus-high","Yes","242","0","27858","76","28176","0.01"
"2025-12-04T08:54:27.436Z","Included","claude-4.5-opus-high","Yes","1263","0","26595","128","27986","0.02"
"2025-12-04T08:54:18.002Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:52:51.683Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:52:43.824Z","Included","claude-4.5-opus-high","Yes","381","0","26214","919","27514","0.03"
"2025-12-04T08:52:26.230Z","Included","claude-4.5-opus-high","Yes","129","0","26085","89","26303","0.01"
"2025-12-04T08:52:20.074Z","Included","claude-4.5-opus-high","Yes","242","0","25843","76","26161","0.01"
"2025-12-04T08:51:40.851Z","Included","claude-4.5-opus-high","Yes","298","0","25545","128","25971","0.01"
"2025-12-04T08:51:29.131Z","Included","claude-4.5-opus-high","Yes","475","0","25070","140","25685","0.01"
"2025-12-04T08:51:22.848Z","Included","claude-4.5-opus-high","Yes","629","0","24441","389","25459","0.02"
"2025-12-04T08:51:07.583Z","Included","claude-4.5-opus-high","Yes","129","0","24312","89","24530","0.01"
"2025-12-04T08:51:01.789Z","Included","claude-4.5-opus-high","Yes","258","0","24054","76","24388","0.01"
"2025-12-04T08:50:05.342Z","Included","claude-4.5-opus-high","Yes","539","0","23515","144","24198","0.01"
"2025-12-04T08:49:53.730Z","Included","claude-4.5-opus-high","Yes","6420","0","17095","150","23665","0.04"
"2025-12-04T08:49:42.735Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:49:30.073Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:49:23.965Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:49:17.656Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:49:11.863Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:49:04.125Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:48:56.597Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:48:49.165Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T08:48:42.480Z","Included","claude-4.5-opus-high","Yes","1939","0","15156","5486","22581","0.11"
"2025-12-04T08:48:39.218Z","Included","claude-4.5-opus-high","Yes","1518","1","13638","114","15271","0.01"
"2025-12-04T07:14:59.539Z","Included","claude-4.5-opus-high","Yes","814","457","89734","233","91238","0.04"
"2025-12-04T07:14:08.210Z","Included","claude-4.5-opus-high","Yes","76096","674","13638","142","90550","0.35"
"2025-12-04T07:07:21.658Z","Included","claude-4.5-opus-high","Yes","2034","0","87247","455","89736","0.05"
"2025-12-04T07:07:16.836Z","Included","claude-4.5-opus-high","Yes","73609","790","13638","185","88222","0.34"
"2025-12-04T06:44:41.569Z","Included","claude-4.5-opus-high","Yes","667","180","86245","157","87249","0.04"
"2025-12-04T06:42:03.851Z","Included","claude-4.5-opus-high","Yes","2764","0","83481","669","86914","0.05"
"2025-12-04T06:42:00.143Z","Included","claude-4.5-opus-high","Yes","18187","145","65294","213","83839","0.11"
"2025-12-04T06:36:40.004Z","Included","claude-4.5-opus-high","Yes","2846","0","80242","360","83448","0.05"
"2025-12-04T06:36:33.303Z","Included","claude-4.5-opus-high","Yes","187","0","80055","2738","82980","0.08"
"2025-12-04T06:36:22.708Z","Included","claude-4.5-opus-high","Yes","3397","0","76658","129","80184","0.05"
"2025-12-04T06:36:14.731Z","Included","claude-4.5-opus-high","Yes","17967","0","58691","203","76861","0.11"
"2025-12-04T06:36:14.009Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T06:36:13.308Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T06:36:07.031Z","Included","claude-4.5-opus-high","Yes","1121","0","57570","327","59018","0.03"
"2025-12-04T06:36:03.315Z","Included","claude-4.5-opus-high","Yes","314","893","57256","129","58592","0.03"
"2025-12-04T06:32:29.126Z","Included","claude-4.5-opus-high","Yes","3840","0","53416","316","57572","0.04"
"2025-12-04T06:32:25.692Z","Included","claude-4.5-opus-high","Yes","476","185","52940","111","53712","0.02"
"2025-12-04T06:31:14.944Z","Included","claude-4.5-opus-high","Yes","7360","0","45580","478","53418","0.06"
"2025-12-04T06:31:11.178Z","Included","claude-4.5-opus-high","Yes","513","858","45067","121","46559","0.02"
"2025-12-04T06:27:54.993Z","Included","claude-4.5-opus-high","Yes","2137","160","42930","355","45582","0.03"
"2025-12-04T06:25:05.734Z","Included","claude-4.5-opus-high","Yes","1185","1724","41745","415","45069","0.03"
"2025-12-04T06:24:06.897Z","Included","claude-4.5-opus-high","Yes","1604","914","40141","273","42932","0.03"
"2025-12-04T06:22:36.727Z","Included","claude-4.5-opus-high","Yes","793","1311","39348","295","41747","0.03"
"2025-12-04T06:20:56.510Z","Included","claude-4.5-opus-high","Yes","385","574","38963","221","40143","0.02"
"2025-12-04T06:20:38.179Z","Included","claude-4.5-opus-high","Yes","3563","158","35400","229","39350","0.03"
"2025-12-04T06:20:13.628Z","Included","claude-4.5-opus-high","Yes","1536","3165","33864","400","38965","0.04"
"2025-12-04T06:16:01.366Z","Included","claude-4.5-opus-high","Yes","367","1093","33497","445","35402","0.03"
"2025-12-04T06:14:24.609Z","Included","claude-4.5-opus-high","Yes","8041","0","25456","369","33866","0.05"
"2025-12-04T06:14:16.055Z","Included","claude-4.5-opus-high","Yes","5858","0","19598","197","25653","0.04"
"2025-12-04T06:14:09.660Z","Included","claude-4.5-opus-high","Yes","1703","0","17895","190","19788","0.02"
"2025-12-04T06:14:07.516Z","Included","claude-4.5-opus-high","Yes","48","414","17847","93","18402","0.01"
"2025-12-04T06:13:15.726Z","Included","claude-4.5-opus-high","Yes","2883","0","14964","50","17897","0.02"
"2025-12-04T06:13:12.887Z","Included","claude-4.5-opus-high","Yes","1326","1","13638","125","15090","0.01"
"2025-12-04T06:11:50.330Z","Included","claude-4.5-opus-high","Yes","2513","0","97143","239","99895","0.05"
"2025-12-04T06:11:44.130Z","Included","claude-4.5-opus-high","Yes","144","0","96999","2390","99533","0.08"
"2025-12-04T06:11:39.216Z","Included","claude-4.5-opus-high","Yes","5386","0","91613","86","97085","0.06"
"2025-12-04T06:11:32.463Z","Included","claude-4.5-opus-high","Yes","77975","964","13638","117","92694","0.36"
"2025-12-04T04:58:21.642Z","Included","claude-4.5-opus-high","Yes","1206","0","89456","953","91615","0.05"
"2025-12-04T04:58:16.033Z","Included","claude-4.5-opus-high","Yes","109","0","89347","1094","90550","0.05"
"2025-12-04T04:56:15.832Z","Included","claude-4.5-opus-high","Yes","10926","0","78421","92","89439","0.08"
"2025-12-04T04:56:08.474Z","Included","claude-4.5-opus-high","Yes","105","0","78316","10836","89257","0.22"
"2025-12-04T04:55:52.852Z","Included","claude-4.5-opus-high","Yes","861","0","77455","88","78404","0.03"
"2025-12-04T04:55:46.767Z","Included","claude-4.5-opus-high","Yes","1314","0","76141","775","78230","0.05"
"2025-12-04T04:55:42.082Z","Included","claude-4.5-opus-high","Yes","62503","288","13638","187","76616","0.29"
"2025-12-04T04:44:55.000Z","Included","claude-4.5-opus-high","Yes","2790","0","73029","324","76143","0.04"
"2025-12-04T04:44:48.105Z","Included","claude-4.5-opus-high","Yes","2621","0","70408","129","73158","0.04"
"2025-12-04T04:43:56.709Z","Included","claude-4.5-opus-high","Yes","3673","0","66735","127","70535","0.04"
"2025-12-04T04:43:51.711Z","Included","claude-4.5-opus-high","Yes","53097","154","13638","3418","70307","0.31"
"2025-12-04T03:36:18.927Z","Included","claude-4.5-opus-high","Yes","336","0","65426","975","66737","0.04"
"2025-12-04T03:36:12.498Z","Included","claude-4.5-opus-high","Yes","109","0","65317","94","65520","0.03"
"2025-12-04T03:33:41.882Z","Included","claude-4.5-opus-high","Yes","4010","0","61307","92","65409","0.04"
"2025-12-04T03:33:36.196Z","Included","claude-4.5-opus-high","Yes","13409","0","47898","3920","65227","0.15"
"2025-12-04T03:33:31.597Z","Included","claude-4.5-opus-high","Yes","105","0","47793","101","47999","0.02"
"2025-12-04T03:33:24.655Z","Included","claude-4.5-opus-high","Yes","676","0","47117","88","47881","0.02"
"2025-12-04T03:33:04.417Z","Included","claude-4.5-opus-high","Yes","853","0","46264","256","47373","0.03"
"2025-12-04T03:32:42.637Z","Included","claude-4.5-opus-high","Yes","1573","0","44691","767","47031","0.04"
"2025-12-04T03:32:29.011Z","Included","claude-4.5-opus-high","Yes","414","0","44277","1487","46178","0.04"
"2025-12-04T03:32:16.753Z","Included","claude-4.5-opus-high","Yes","571","0","43706","328","44605","0.02"
"2025-12-04T03:32:06.445Z","Included","claude-4.5-opus-high","Yes","505","0","43201","485","44191","0.03"
"2025-12-04T03:31:59.616Z","Included","claude-4.5-opus-high","Yes","1093","0","42108","256","43457","0.02"
"2025-12-04T03:31:54.905Z","Included","claude-4.5-opus-high","Yes","1267","83","40841","154","42345","0.02"
"2025-12-04T03:30:24.299Z","Included","claude-4.5-opus-high","Yes","8300","0","32541","1269","42110","0.07"
"2025-12-04T03:30:20.640Z","Included","claude-4.5-opus-high","Yes","256","80","32285","108","32729","0.02"
"2025-12-04T03:28:56.114Z","Included","claude-4.5-opus-high","Yes","6297","31","25988","227","32543","0.04"
"2025-12-04T03:26:56.620Z","Included","claude-4.5-opus-high","Yes","4603","0","26987","662","32252","0.04"
"2025-12-04T03:26:46.573Z","Included","claude-4.5-opus-high","Yes","999","0","25988","360","27347","0.02"
"2025-12-04T03:26:38.669Z","Included","claude-4.5-opus-high","Yes","324","0","25664","103","26091","0.01"
"2025-12-04T03:26:30.770Z","Included","claude-4.5-opus-high","Yes","4007","0","21657","148","25812","0.03"
"2025-12-04T03:26:22.948Z","Included","claude-4.5-opus-high","Yes","848","0","20809","117","21774","0.01"
"2025-12-04T03:26:15.959Z","Included","claude-4.5-opus-high","Yes","290","0","20519","114","20923","0.01"
"2025-12-04T03:26:02.018Z","Included","claude-4.5-opus-high","Yes","932","0","19587","244","20763","0.02"
"2025-12-04T03:26:01.592Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:25:47.424Z","Included","claude-4.5-opus-high","Yes","1483","0","18104","142","19729","0.02"
"2025-12-04T03:25:46.527Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:25:42.207Z","Included","claude-4.5-opus-high","Yes","305","462","17799","258","18824","0.01"
"2025-12-04T03:23:40.766Z","Included","claude-4.5-opus-high","Yes","2829","0","14970","307","18106","0.02"
"2025-12-04T03:23:37.969Z","Included","claude-4.5-opus-high","Yes","1332","1","13638","128","15099","0.01"
"2025-12-04T03:19:42.269Z","Included","claude-4.5-opus-high","Yes","2433","0","125007","179","127619","0.06"
"2025-12-04T03:19:36.698Z","Included","claude-4.5-opus-high","Yes","144","0","124863","2307","127314","0.09"
"2025-12-04T03:19:31.415Z","Included","claude-4.5-opus-high","Yes","4742","0","120121","86","124949","0.07"
"2025-12-04T03:19:27.844Z","Included","claude-4.5-opus-high","Yes","1045","320","119076","117","120558","0.05"
"2025-12-04T03:19:03.579Z","Included","claude-4.5-opus-high","Yes","443","0","118633","1047","120123","0.06"
"2025-12-04T03:18:59.208Z","Included","claude-4.5-opus-high","Yes","109","0","118524","188","118821","0.05"
"2025-12-04T03:16:38.303Z","Included","claude-4.5-opus-high","Yes","10454","0","108070","92","118616","0.09"
"2025-12-04T03:16:32.363Z","Included","claude-4.5-opus-high","Yes","8282","0","99788","10365","118435","0.26"
"2025-12-04T03:16:28.980Z","Included","claude-4.5-opus-high","Yes","605","52","99183","118","99958","0.04"
"2025-12-04T03:15:47.163Z","Included","claude-4.5-opus-high","Yes","467","63","98716","544","99790","0.05"
"2025-12-04T03:15:38.133Z","Errored, No Charge","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:15:31.502Z","Included","claude-4.5-opus-high","Yes","155","0","98561","212","98928","0.04"
"2025-12-04T03:15:15.170Z","Included","claude-4.5-opus-high","Yes","6798","0","91763","138","98699","0.07"
"2025-12-04T03:14:21.149Z","Included","claude-4.5-opus-high","Yes","3920","0","87843","182","91945","0.05"
"2025-12-04T03:14:15.248Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:14:08.149Z","Included","claude-4.5-opus-high","Yes","2028","0","85815","3537","91380","0.10"
"2025-12-04T03:13:59.505Z","Included","claude-4.5-opus-high","Yes","1229","0","84586","89","85904","0.04"
"2025-12-04T03:13:58.689Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:13:55.103Z","Included","claude-4.5-opus-high","Yes","70948","836","13638","204","85626","0.33"
"2025-12-04T03:05:34.093Z","Included","claude-4.5-opus-high","Yes","321","0","83719","548","84588","0.04"
"2025-12-04T03:04:47.525Z","Included","claude-4.5-opus-high","Yes","2522","0","81197","112","83831","0.04"
"2025-12-04T03:04:41.980Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:04:30.948Z","Included","claude-4.5-opus-high","Yes","9196","0","72001","2164","83361","0.11"
"2025-12-04T03:04:30.418Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:04:24.726Z","Included","claude-4.5-opus-high","Yes","140","0","71861","189","72190","0.03"
"2025-12-04T03:03:58.480Z","Included","claude-4.5-opus-high","Yes","1323","0","70538","123","71984","0.03"
"2025-12-04T03:03:46.262Z","Included","claude-4.5-opus-high","Yes","384","0","70154","1237","71775","0.05"
"2025-12-04T03:03:29.500Z","Included","claude-4.5-opus-high","Yes","818","0","69336","298","70452","0.03"
"2025-12-04T03:03:13.004Z","Included","claude-4.5-opus-high","Yes","1068","0","68268","732","70068","0.04"
"2025-12-04T03:02:57.351Z","Included","claude-4.5-opus-high","Yes","996","0","67272","982","69250","0.05"
"2025-12-04T03:02:46.761Z","Included","claude-4.5-opus-high","Yes","830","0","66442","910","68182","0.04"
"2025-12-04T03:02:42.470Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:02:32.804Z","Included","claude-4.5-opus-high","Yes","1045","0","65397","494","66936","0.04"
"2025-12-04T03:02:27.749Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:02:21.080Z","Included","claude-4.5-opus-high","Yes","338","0","65059","658","66055","0.04"
"2025-12-04T03:02:14.357Z","Included","claude-4.5-opus-high","Yes","220","0","64839","117","65176","0.03"
"2025-12-04T03:02:04.829Z","Included","claude-4.5-opus-high","Yes","8261","0","56578","145","64984","0.06"
"2025-12-04T03:02:04.778Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:57.121Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:46.835Z","Included","claude-4.5-opus-high","Yes","359","0","56219","357","56935","0.03"
"2025-12-04T03:01:33.727Z","Included","claude-4.5-opus-high","Yes","27541","0","28678","193","56412","0.14"
"2025-12-04T03:01:33.210Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:32.488Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:31.680Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:21.480Z","Included","claude-4.5-opus-high","Yes","1207","0","27471","415","29093","0.02"
"2025-12-04T03:01:20.815Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:19.781Z","Errored, No Charge","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T03:01:15.586Z","Included","claude-4.5-opus-high","Yes","790","305","26681","240","28016","0.02"
"2025-12-04T02:57:42.584Z","Included","claude-4.5-opus-high","Yes","12513","175","14168","617","27473","0.07"
